N,R_m,R_over_lP,R_over_c_s,t_coh_s,beta,degeneracy,omega_rad_s,nu_Hz,epsilon0_J,shell_zero_point_J,bare_cutoff_M,bare_cutoff_energy_J,scalar_Casimir_energy_J,scalar_Casimir_density_J_m3,scalar_Casimir_pressure_Pa,mode_temperature_K,equal_thermal_zero_temperature_K,mean_Planck_energy_at_theta_J,theta,single_mode_compactness,scalar_Casimir_compactness,epsilon0_R_over_c_Js,scalar_Casimir_R_over_c_Js,rho_R4_Jm
148,0.00013761971002115164,8.514727565956587e+30,4.59049940546375e-13,1.4421479208513232e-12,1,1,2178412219833.3582,346705072878.2675,1.148646066422334e-22,1.148646066422334e-22,24,1.0337814597801005e-17,9.57205055351945e-25,1.86051564929137e-14,6.201718830971233e-15,16.639219184924393,15.145670002560012,2.297292132844668e-22,0.9102392266268373,1.3792992053701355e-62,1.1494160044751129e-64,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
149,0.00022267336833612774,1.3777118606663411e+31,7.427584063376529e-13,2.3334443527424328e-12,1,1,1346332793365.124,214275519110.7788,7.099023100928722e-23,7.099023100928722e-23,24,6.38912079083585e-18,5.915852584107268e-25,2.71445574993303e-15,9.0481858331101e-16,10.283603002542604,9.360538843971801,1.4198046201857443e-22,0.9102392266268373,5.268454157956709e-63,4.390378464963924e-65,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
150,0.0003602930783572791,2.229184617261998e+31,1.201808346884027e-12,3.775592273593752e-12,1,1,832079426468.2361,132429553767.48903,4.387437563294628e-23,4.3874375632946275e-23,24,3.948693806965165e-18,3.65619796941219e-25,3.96033756617468e-16,1.3201125220582267e-16,6.355616182381804,5.785131158588226,8.774875126589256e-23,0.9102392266268373,2.0123704201687583e-63,1.676975350140632e-65,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
151,0.0005829664466934064,3.6068964779283366e+31,1.9445667532216785e-12,6.109036626336181e-12,1,1,514253366896.889,81845965343.28995,2.7115855376340994e-23,2.7115855376340994e-23,24,2.4404269838706892e-18,2.259654614695083e-25,5.778054638923969e-17,1.9260182129746564e-17,3.9279868201608075,3.575407685383583,5.423171075268199e-23,0.9102392266268373,7.686571025495594e-64,6.405475854579662e-66,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
152,0.0009432595250506848,5.836081095190331e+31,3.146375100105703e-12,9.884628899929928e-12,1,1,317826059571.3476,50583588424.199165,1.6758520256605313e-23,1.6758520256605313e-23,24,1.5082668230944782e-18,1.3965433547171095e-25,8.430068107208976e-18,2.810022702402992e-18,2.427629362221001,2.209723473204646,3.3517040513210626e-23,0.9102392266268373,2.9360088747991863e-64,2.4466740623326554e-66,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
153,0.0015262259717440901,9.44297757311866e+31,5.090941853327378e-12,1.5993665526266097e-11,1,1,196427307325.54175,31262376919.090836,1.0357335119735698e-23,1.0357335119735698e-23,24,9.321601607762129e-19,8.631112599779749e-26,1.2299303612230355e-18,4.0997678707434515e-19,1.5003574579398091,1.3656842121789394,2.0714670239471397e-23,0.9102392266268373,1.1214555989019556e-64,9.345463324182963e-67,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
154,0.0024694854967947733,1.5279058668308982e+32,8.237316953433075e-12,2.5878294426196008e-11,1,1,121398752245.80608,19321211505.108368,6.4011851368696274e-24,6.401185136869627e-24,24,5.761066623182664e-19,5.334320947391356e-26,1.7944442135225648e-19,5.981480711741883e-20,0.9272719042811934,0.8440392610257081,1.2802370273739255e-23,0.9102392266268373,4.283579219066781e-65,3.5696493492223174e-67,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403201e-30
155,0.00399571146853886,2.4722036241427623e+32,1.3328258806760444e-11,4.187195995246207e-11,1,1,75028555079.73582,11941165413.98249,3.95614998286608e-24,3.956149982866079e-24,24,3.5605349845794713e-19,3.296791652388399e-26,2.61805882427574e-20,8.7268627475858e-21,0.573085553658617,0.5216449511532324,7.91229996573216e-24,0.9102392266268373,1.636181668180781e-65,1.3634847234839841e-67,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
156,0.0064651969653336284,4.000109490973657e+32,2.1565575760193502e-11,6.775025437865802e-11,1,1,46370197166.07034,7380046091.125892,2.4450351540035525e-24,2.4450351540035525e-24,24,2.2005316386031977e-19,2.0375292950029603e-26,3.81969634704494e-21,1.2732321156816466e-21,0.3541863506225771,0.3223943098724764,4.890070308007105e-24,0.9102392266268373,6.249657854755567e-66,5.208048212296306e-68,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
157,0.010460908433872481,6.472313115116414e+32,3.489383456695392e-11,1.0962221433112e-10,1,1,28658357913.66554,4561119322.856607,1.5111148288625298e-24,1.5111148288625298e-24,24,1.3600033459762765e-19,1.2592623573854415e-26,5.572861865571205e-22,1.8576206218570683e-22,0.21889920303604024,0.1992506412807563,3.0222296577250596e-24,0.9102392266268373,2.387156882458875e-66,1.9892974020490628e-68,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
158,0.0169261053992061,1.0472422606090065e+33,5.6459410327147386e-11,1.7737246870977792e-10,1,1,17711839252.404835,2818926768.2692895,9.339203251410243e-25,9.339203251410243e-25,24,8.405282926269219e-20,7.782669376175202e-27,8.130695885489548e-23,2.7102319618298497e-23,0.1352871475865371,0.12314366859172032,1.8678406502820486e-24,0.9102392266268373,9.118127926210535e-67,7.59843993850878e-69,5.272859085e-35,4.394049237499999e-37,6.673534054403198e-30
159,0.02738701383307856,1.6944735721206466e+33,9.135324489410124e-11,2.8699468304089773e-10,1,1,10946518661.260723,1742192554.5873208,5.771945037215064e-25,5.771945037215063e-25,24,5.1947505334935563e-20,4.8099541976792196e-27,1.1862525427147085e-23,3.954175142382361e-24,0.0836120554495033,0.07610697268903611,1.1543890074430128e-24,0.9102392266268373,3.4828149540428355e-67,2.9023457950356963e-69,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
160,0.04431311923228462,2.741715832729651e+33,1.478126552212485e-10,4.6436715175067523e-10,1,1,6765320591.144128,1076734213.6819713,3.5672582141951883e-25,3.5672582141951883e-25,24,3.210532392775669e-20,2.9727151784959903e-27,1.730719135133885e-24,5.769063783779616e-25,0.05167509213703393,0.047036695902684326,7.134516428390377e-25,0.9102392266268373,1.3303169359179617e-67,1.1085974465983015e-69,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
161,0.07170013306536313,4.4361894048502945e+33,2.3916590011534956e-10,7.513618347915725e-10,1,1,4181198070.1166034,665458340.9053507,2.20468682301988e-25,2.20468682301988e-25,24,1.984218140717892e-20,1.8372390191832332e-27,2.5250851879008074e-25,8.416950626336025e-26,0.031936963312469424,0.029070276786351844,4.40937364603976e-25,0.9102392266268373,5.08135853711046e-68,4.23446544759205e-70,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
162,0.11601325229764768,7.177905237579941e+33,3.8697855533659785e-10,1.215728986542247e-09,1,1,2584122521.0275283,411275872.7766214,1.3625713911753106e-25,1.3625713911753104e-25,24,1.2263142520577795e-20,1.1354761593127587e-27,3.6840496396677426e-26,1.2280165465559142e-26,0.019738128824564542,0.017966419116332514,2.7251427823506213e-25,0.9102392266268373,1.9409062521517534e-68,1.617421876793128e-70,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
163,0.1877133853630107,1.1614094642430227e+34,6.261444554519469e-10,1.967090821333818e-09,1,1,1597075549.089078,254182468.1287297,8.421154318445708e-26,8.421154318445708e-26,24,7.579038886601137e-21,7.017628598704757e-28,5.3749559866608294e-27,1.79165199555361e-27,0.012198834487904903,0.011103857670019349,1.6842308636891416e-25,0.9102392266268373,7.413602193447969e-69,6.178001827873308e-71,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
164,0.3037266376606581,1.8791999880010152e+34,1.013123010788544e-09,3.182819807876062e-09,1,1,987046971.9384521,157093404.64789197,5.204559593307407e-26,5.204559593307406e-26,24,4.684103633976666e-21,4.3371329944228385e-28,7.841955099483038e-28,2.613985033161013e-28,0.0075392943366596535,0.006862561446313178,1.0409119186614815e-25,0.9102392266268373,2.831744058826355e-69,2.3597867156886294e-71,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
165,0.4914400230236684,3.0406094522440356e+34,1.6392674662404897e-09,5.149910629209877e-09,1,1,610028577.1506274,97089063.48083799,3.216594725138309e-26,3.2165947251383086e-26,24,2.8949352526244776e-21,2.680495604281924e-28,1.1441258297728372e-28,3.813752765909457e-29,0.0046595401512452604,0.004241296223706182,6.433189450276618e-26,0.9102392266268373,1.0816299830310869e-69,9.013583191925725e-72,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
166,0.795166660684326,4.9198094402450475e+34,2.6523904770290318e-09,8.332730437085932e-09,1,1,377018394.7878254,60004341.16705409,1.9879648681691017e-26,1.9879648681691017e-26,24,1.7891683813521915e-21,1.6566373901409182e-28,1.6692570892680542e-29,5.5641902975601805e-30,0.002879754185414398,0.0026212652226069995,3.9759297363382034e-26,0.9102392266268373,4.131458902669036e-70,3.4428824188908635e-72,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
167,1.2866066837080117,7.96041889248919e+34,4.291657943269579e-09,1.348264106629599e-08,1,1,233010182.3627991,37084722.313783444,1.228629856969192e-26,1.228629856969192e-26,24,1.105766871272273e-21,1.0238582141409933e-28,2.4354132714797054e-30,8.118044238265685e-31,0.0017797859658308403,0.0016200310010991627,2.457259713938384e-26,0.9102392266268373,1.578076877696185e-70,1.3150640647468208e-72,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
168,2.081773344392347,1.2880228332734297e+35,6.944048420298643e-09,2.1815371503382025e-08,1,1,144008212.42502123,22919618.85326983,7.593350111998831e-27,7.59335011199883e-27,24,6.834015100798947e-22,6.327791759999025e-29,3.553220076783132e-31,1.184406692261044e-31,0.0010999682195835191,0.0010012342215078016,1.5186700223997662e-26,0.9102392266268373,6.027717304196326e-71,5.023097753496938e-73,5.272859085000001e-35,4.3940492375e-37,6.6735340544032e-30
169,3.3683800281003564,2.0840647225223472e+35,1.1235706363568214e-08,3.529801256967799e-08,1,1,89001969.93777809,14165103.460513651,4.6929484576931005e-27,4.6929484576931e-27,24,4.22365361192379e-22,3.9107903814109164e-29,5.184078226848048e-32,1.728026075616016e-32,0.0006798177462473228,0.0006187967795913626,9.385896915386201e-27,0.9102392266268373,2.30238313562711e-71,1.9186526130225916e-73,5.272859085000001e-35,4.3940492375e-37,6.6735340544032e-30
170,5.4501533724927,3.372087555795775e+35,1.8179754783866844e-08,5.711338407305997e-08,1,1,55006242.48724324,8754515.392756194,2.9004016543057354e-27,2.900401654305735e-27,24,2.610361488875161e-22,2.417001378588113e-29,7.563468201049536e-33,2.521156067016512e-33,0.000420150473336197,0.0003824374419164396,5.800803308611471e-27,0.9102392266268373,8.794321026849978e-72,7.328600855708314e-74,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
171,8.818533400593049,5.4561522783181175e+35,2.941546114743503e-08,9.241139664273789e-08,1,1,33995727.4505349,5410588.067757467,1.7925468033873684e-27,1.7925468033873684e-27,24,1.6132921230486315e-22,1.493789002822807e-29,1.103495138866166e-33,3.678317129553887e-34,0.0002596672729111263,0.00023635933767492354,3.585093606774737e-27,0.9102392266268373,3.35913172427882e-72,2.7992764368990165e-74,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
172,14.268686773085738,8.828239834113886e+35,4.759521593130184e-08,1.4952478071579775e-07,1,1,21010515.03670839,3343927.324998735,1.1078548509183693e-27,1.1078548509183693e-27,24,9.970693658265324e-23,9.232123757653077e-30,1.609977710136052e-34,5.366592367120173e-35,0.000160483200425071,0.00014607810424151636,2.2157097018367386e-27,0.9102392266268373,1.2830741459864699e-72,1.0692284549887248e-74,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
173,23.087220173678773,1.4284392112431993e+36,7.701067707873683e-08,2.419361773585355e-07,1,1,12985212.413826535,2066660.742758735,6.846919524690002e-28,6.846919524690002e-28,24,6.162227572221002e-23,5.705766270575001e-30,2.348925822906857e-35,7.829752743022857e-36,9.918407248605549e-05,9.028123343340733e-05,1.3693839049380004e-27,0.9102392266268373,4.900907136805874e-73,4.0840892806715614e-75,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
174,37.355906946764485,2.311263194654586e+36,1.246058930100386e-07,3.91460958074333e-07,1,1,8025302.622881868,1277266.5822400022,4.231628984493698e-28,4.231628984493698e-28,24,3.8084660860443285e-23,3.526357487078082e-30,3.427036589874529e-36,1.1423455299581763e-36,6.129912793901561e-05,5.5796870808109126e-05,8.463257968987397e-28,0.9102392266268373,1.871979950552915e-73,1.5599832921274292e-75,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
175,60.44312712044321,3.7397024058977825e+36,2.0161657008877525e-07,6.333971354328679e-07,1,1,4959909.790944677,789394.1605187346,2.615290540196309e-28,2.615290540196309e-28,24,2.3537614861766784e-23,2.1794087834969243e-30,4.9999790005308136e-37,1.6666596668436045e-37,3.788494454703997e-05,3.4484362625298276e-05,5.230581080392618e-28,0.9102392266268373,7.150327148528671e-74,5.958605957107226e-76,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
176,97.79903406720763,6.050965600552365e+36,3.262224630988136e-07,1.0248580935072002e-06,1,1,3065392.831937197,487872.4217212685,1.6163384442973928e-28,1.6163384442973926e-28,24,1.4547045998676534e-23,1.3469487035811605e-30,7.294871049703143e-38,2.431623683234381e-38,2.3414183391975698e-05,2.1312508182810898e-05,3.2326768885947856e-28,0.9102392266268373,2.7311819400568368e-74,2.275984950047364e-76,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
177,158.2421611876507,9.79066800645014e+36,5.278390331875884e-07,1.6582552289400667e-06,1,1,1894516.9590074832,301521.7387974666,9.989520958989181e-29,9.98952095898918e-29,24,8.990568863090262e-24,8.32460079915765e-31,1.064307342613791e-38,3.54769114204597e-39,1.4470761155064293e-05,1.31718544424874e-05,1.9979041917978362e-28,0.9102392266268373,1.043218671641835e-74,8.693488930348625e-77,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
178,256.04119525485817,1.5841633607002493e+37,8.540614962864014e-07,2.683113322447265e-06,1,1,1170875.8729297162,186350.68292380226,6.17386348398476e-29,6.17386348398476e-29,24,5.556477135586284e-24,5.144886236653967e-31,1.5528034859337573e-39,5.176011619779191e-40,8.943422236911422e-06,8.140653740323513e-06,1.234772696796952e-28,0.9102392266268373,3.9847407486866524e-75,3.3206172905722103e-77,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
179,414.28335644250853,2.563230161345261e+37,1.3819005294739888e-06,4.341368551387328e-06,1,1,723641.0860777681,115171.05587366452,3.8156574750044267e-29,3.815657475004426e-29,24,3.434091727503984e-24,3.1797145625036885e-31,2.2655097539837133e-40,7.551699179945711e-41,5.527338918152878e-06,5.031200702163895e-06,7.631314950008853e-29,0.9102392266268373,1.5220355296416006e-75,1.2683629413680004e-77,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
180,670.3245516973662,4.147393522045508e+37,2.2359620257603887e-06,7.024481873834588e-06,1,1,447234.78685194923,71179.62705013792,2.3582060089803392e-29,2.358206008980339e-29,24,2.122385408082305e-24,1.9651716741502822e-31,3.305334185483853e-41,1.1017780618279511e-41,3.4160833187585536e-06,3.109453038159625e-06,4.7164120179606784e-29,0.9102392266268373,5.813658402381439e-76,4.844715335317865e-78,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
181,1084.607908139874,6.710623683390764e+37,3.617862555234375e-06,1.1365850425221909e-05,1,1,276406.2992258193,43991.428823526665,1.4574514660240898e-29,1.4574514660240898e-29,24,1.3117063194216809e-24,1.2145428883534082e-31,4.822417585497955e-42,1.6074725284993182e-42,2.1112555993943277e-06,1.9217476640042727e-06,2.9149029320481795e-29,0.9102392266268373,2.220619910728299e-76,1.8505165922735824e-78,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
182,1754.932459837239,1.0858017205436264e+38,5.853824580994759e-06,1.8390332299056488e-05,1,1,170828.48762613017,27188.198226611294,9.007545429562505e-30,9.007545429562505e-30,24,8.106790886606255e-25,7.506287857968755e-32,7.035812436470969e-43,2.3452708121569897e-43,1.3048277193642272e-06,1.187705374155354e-06,1.801509085912501e-29,0.9102392266268373,8.482013298034536e-77,7.06834441502878e-79,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
183,2839.540367977111,1.7568640888827016e+38,9.471687136229128e-06,2.9756182724278373e-05,1,1,105577.81159968935,16803.230596915408,5.5669692306784036e-30,5.5669692306784036e-30,24,5.010272307610563e-25,4.6391410255653363e-32,1.026511200317133e-43,3.42170400105711e-44,8.064278800301022e-07,7.340422898489202e-07,1.1133938461356807e-29,0.9102392266268373,3.2398407868206047e-77,2.699867322350504e-79,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
184,4594.472827814347,2.842665809426326e+38,1.5325511717223875e-05,4.814651502333482e-05,1,1,65250.67602644096,10384.967629695911,3.4405761988841095e-30,3.440576198884109e-30,24,3.096518578995698e-25,2.867146832403424e-32,1.4976596574894622e-44,4.992198858298207e-45,4.983998393341261e-07,4.536630843064349e-07,6.881152397768219e-30,0.9102392266268373,1.2375090624272703e-77,1.0312575520227252e-79,5.272859085000001e-35,4.3940492375e-37,6.6735340544032e-30
185,7434.013195791452,4.599529898309024e+38,2.4797198853452984e-05,7.790269774761313e-05,1,1,40327.13557324847,6418.262967219509,2.126393031794299e-30,2.1263930317942986e-30,24,1.913753728614869e-25,1.7719941931619157e-32,2.1850559925488395e-45,7.283519975162799e-46,3.0802804069597687e-07,2.8037920554248596e-07,4.252786063588598e-30,0.9102392266268373,4.726864004612023e-78,3.939053337176686e-80,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403201e-30
186,12028.486023605788,7.442195707735344e+38,4.012271057067683e-05,0.00012604921277094785,1,1,24923.540453192545,3966.704662476411,1.3141831670898133e-30,1.3141831670898131e-30,24,1.1827648503808317e-25,1.095152639241511e-32,3.1879537294722043e-46,1.0626512431574014e-46,1.9037179863814963e-07,1.7328387876394932e-07,2.6283663341796266e-30,0.9102392266268373,1.8055013895633554e-78,1.5045844913027962e-80,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
187,19462.499219397225,1.2041725606044357e+39,6.491990942412976e-05,0.00020395191051856082,1,1,15403.59512005596,2451.558304743103,8.122098647044872e-31,8.122098647044872e-31,24,7.309888782340385e-26,6.76841553920406e-33,4.651161808169807e-47,1.5503872693899357e-47,1.1765624205782746e-07,1.0709532677853685e-07,1.6244197294089745e-30,0.9102392266268373,6.896401640780378e-79,5.747001367316982e-81,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
188,31490.985243002993,1.948392131377969e+39,0.00010504261999480651,0.0003300011232895085,1,1,9519.945333136604,1515.1463577333109,5.0197330238532695e-31,5.019733023853269e-31,24,4.5177597214679415e-26,4.1831108532110576e-33,6.785953624665379e-48,2.2619845415551264e-48,7.271555658032229e-08,6.618855198541258e-08,1.0039466047706539e-30,0.9102392266268373,2.634191026707564e-79,2.19515918892297e-81,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
189,50953.484462400185,3.152564691982403e+39,0.00016996252941893616,0.000533953033808069,1,1,5883.6497869193645,936.4119470097936,3.1023656231916085e-31,3.1023656231916085e-31,24,2.792129060872448e-26,2.585304685993007e-33,9.90057290959507e-49,3.3001909698650233e-49,4.494068547750526e-08,4.0906774793124334e-08,6.204731246383217e-31,0.9102392266268373,1.0061714393423083e-79,8.384761994519236e-82,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
190,82444.46970540311,5.1009568233603675e+39,0.0002750051494137425,0.0008639541570975767,1,1,3636.295546217246,578.7344107235183,1.9173674006616643e-31,1.9173674006616643e-31,24,1.725630660595498e-26,1.5978061672180534e-33,1.4444741205115637e-49,4.814913735038546e-50,2.777487110281707e-08,2.52817771922883e-08,3.8347348013233285e-31,0.9102392266268373,3.843232913193591e-80,3.2026940943279926e-82,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
191,133397.9541678032,8.253521515342764e+39,0.00044496767883267827,0.0013979071909056447,1,1,2247.354240702123,357.6775362862761,1.1849982225299467e-31,1.1849982225299467e-31,24,1.066498400276952e-26,9.874985187749556e-34,2.107459339858538e-50,7.024864466195127e-51,1.716581437468823e-08,1.5624997600836063e-08,2.3699964450598934e-31,0.9102392266268373,1.467984346157679e-80,1.2233202884647325e-82,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
192,215842.4238732092,1.335447833870331e+40,0.0007199728282464304,0.0022618613480032516,1,1,1388.9413055151058,221.0568744372395,7.323691781317086e-32,7.323691781317086e-32,24,6.591322603185377e-27,6.103076484430905e-34,3.074741738940819e-51,1.024913912980273e-51,1.0609056728128708e-08,9.65677959145212e-09,1.4647383562634172e-31,0.9102392266268373,5.607201252794271e-81,4.6726677106618926e-83,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
193,349240.3780410141,2.1607999854046178e+40,0.0011649405070791143,0.0036597685389089135,1,1,858.4129351869874,136.62066184903182,4.5262904439822224e-32,4.5262904439822224e-32,24,4.073661399584e-27,3.7719087033185188e-34,4.485987740014918e-52,1.4953292466716393e-52,6.556757646559295e-09,5.968218009383735e-09,9.052580887964445e-32,0.9102392266268373,2.1417602968064216e-81,1.7848002473386846e-83,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
194,565082.8019142229,3.4962478192749467e+40,0.0018849133353255434,0.005921629886912161,1,1,530.5283703281191,84.43621258820777,2.797401337334867e-32,2.797401337334867e-32,24,2.5176612036013803e-27,2.331167781112389e-34,6.544967906961992e-53,2.1816559689873308e-53,4.052299081569417e-09,3.688561582068389e-09,5.594802674669734e-32,0.9102392266268373,8.180796376249911e-82,6.817330313541592e-84,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
195,914323.1799552363,5.65704780467956e+40,0.0030498538424046555,0.009581398425821069,1,1,327.884564858869,52.18444926082416,1.7288891066473593e-32,1.728889106647359e-32,24,1.5560001959826232e-27,1.4407409222061326e-34,9.548979485846745e-54,3.182993161948915e-54,2.504458564989884e-09,2.2796564273153506e-09,3.4577782132947185e-32,0.9102392266268373,3.124786160685496e-82,2.6039884672379137e-84,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403201e-30
196,1479405.981869458,9.1532956239545e+40,0.004934767177730195,0.015503028312733218,1,1,202.6438054692505,32.25176332738368,1.0685122306875102e-32,1.0685122306875102e-32,24,9.616610076187591e-28,8.904268589062586e-35,1.3931773313071417e-54,4.643924437690472e-55,1.5478405165795364e-09,1.4089051547530416e-09,2.1370244613750204e-32,0.9102392266268373,1.1935621058065707e-82,9.946350881721422e-85,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
197,2393729.1618246925,1.481034342863405e+41,0.007984621020134844,0.025084426738554266,1,1,125.24075938961872,19.932685933440524,6.603768759598502e-33,6.6037687595985e-33,24,5.943391883638652e-28,5.503140632998752e-35,2.032618333032242e-55,6.775394443440807e-56,9.566180484103493e-10,8.707512725623106e-10,1.3207537519197003e-32,0.9102392266268373,4.559001567342122e-83,3.799167972785102e-85,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403202e-30
198,3873135.143694148,2.396363905258853e+41,0.01291938819786503,0.040587455051287455,1,1,77.40304607963193,12.319077393943173,4.0813535472766085e-33,4.0813535472766085e-33,24,3.6732181925489477e-28,3.4011279560638405e-35,2.9655501815424843e-56,9.885167271808281e-57,5.912224681691883e-10,5.381538821907319e-10,8.162707094553217e-33,0.9102392266268373,1.7413836439606494e-83,1.4511530366338745e-85,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
199,6266864.305518836,3.877398248122255e+41,0.02090400921799986,0.06567188178984168,1,1,47.83771330998687,7.613608539497364,2.5224152123218966e-33,2.5224152123218966e-33,24,2.270173691089707e-28,2.1020126769349137e-35,4.326679404749405e-57,1.4422264682498015e-57,3.653955802411614e-10,3.325973903715793e-10,5.044830424643793e-33,0.9102392266268373,6.651493645398233e-84,5.5429113711651946e-86,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
200,10139999.449212976,6.273762153381103e+41,0.03382339741586486,0.10625933684112905,1,1,29.565332769645135,4.70546885444582,1.5589383349547157e-33,1.5589383349547157e-33,24,1.4030445014592439e-28,1.2991152791289295e-35,6.3125401782092486e-58,2.1041800594030827e-58,2.258268879280274e-10,2.0555649181915312e-10,3.117876669909431e-33,0.9102392266268373,2.540644496588188e-84,2.1172037471568236e-86,5.272859085000001e-35,4.3940492375e-37,6.6735340544032e-30
201,16406863.754731799,1.0151160401503351e+42,0.05472740663386468,0.17193121863097058,1,1,18.272380540341768,2.90813968505155,9.63476877367183e-34,9.63476877367183e-34,24,8.671291896304647e-29,8.028973978059858e-36,9.209871999705975e-59,3.069957333235325e-59,1.3956869231313432e-10,1.270408985524264e-10,1.926953754734366e-33,0.9102392266268373,9.704398443663224e-85,8.086998703052686e-87,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
202,26546863.203944754,1.6424922554884442e+42,0.08855080404972948,0.2781905554720994,1,1,11.292952229303388,1.7973291693942735,5.954614575875338e-34,5.954614575875337e-34,24,5.359153118287802e-29,4.962178813229448e-36,1.3437022158491907e-59,4.479007386163969e-60,8.625819561489324e-11,7.851559326672688e-11,1.1909229151750676e-33,0.9102392266268373,3.7067503651077745e-85,3.088958637589812e-87,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
203,42953726.958676524,2.6576082956387774e+42,0.14327821068359406,0.4501217741030697,1,1,6.979428311038394,1.1108105156572787,3.6801541977965e-34,3.6801541977965e-34,24,3.31213877801685e-29,3.066795164830417e-36,1.9604351123833925e-60,6.534783707944641e-61,5.331049669824118e-11,4.852530528569962e-11,7.360308395593e-34,0.9102392266268373,1.4158526516600886e-85,1.1798772097167405e-87,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
204,69500590.16262123,4.3001005511272185e+42,0.23182901473332337,0.7283123295751686,1,1,4.313523918265003,0.6865186537369959,2.274460378078842e-34,2.2744603780788414e-34,24,2.0470143402709573e-29,1.8953836483990344e-36,2.8602362819181622e-61,9.534120939727208e-62,3.294769891665212e-11,2.999028798102731e-11,4.548920756157684e-34,0.9102392266268373,5.408075898724893e-86,4.506729915604078e-88,5.272859085000001e-35,4.3940492375e-37,6.673534054403201e-30
205,112454317.12129767,6.957708846765991e+42,0.37510722541691716,1.1784341036782373,1,1,2.6659043927733963,0.4242918619202837,1.4056938197176611e-34,1.405693819717661e-34,24,1.2651244377458948e-29,1.171411516431384e-36,4.173028495931737e-62,1.3910094986439125e-62,2.036279778158911e-11,1.8535017304672347e-11,2.8113876394353223e-34,0.9102392266268373,2.065701179573777e-86,1.7214176496448143e-88,5.272859085000001e-35,4.3940492375e-37,6.6735340544032e-30
206,181954907.28391877,1.12578093978932e+43,0.6069362401502401,1.9067464332534048,1,1,1.6476195254916093,0.26222679181671266,8.687665583611821e-35,8.687665583611821e-35,24,7.81889902525064e-30,7.239721319676518e-37,6.088366523404781e-63,2.0294555078015938e-63,1.2584901135063033e-11,1.1455270676354983e-11,1.7375331167223642e-34,0.9102392266268373,7.8902763999643365e-87,6.575230333303614e-89,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
