id,lambda,branch,alpha0,beta_plus0,beta_minus0,p_plus0,p_minus0,p_alpha0,momentum_rescale,tau_end,t_end,alpha_min,alpha_max,shear_max,shear_end,beta_max,wall_bounces,lyapunov_tau_bounded_only,recurrence,peaks_beta_plus,constraint_residual,steps,stop_reason,class
74,0.2,contracting,0.167559598,-0.242702720,0.242702720,-43.244040,-19.857495,48.791063,1.000000,1.231834132,5.680571720e-1,-8.841861874,0.167559598,1.038228e+0,1.000000e+0,4.680669200,3,,1.007504218,0,3.348323e-11,1307,collapse,singular
75,0.2,contracting,0.846949498,0.384121600,-0.384121600,24.694950,31.428131,453.503479,1.000000,0.033074988,4.607012816e-1,-8.162164442,0.846949498,1.003289e+0,9.729468e-1,8.183696701,1,,1.000000000,0,1.769819e-12,541,collapse,singular
76,0.2,contracting,0.626339398,-0.089054079,0.089054079,2.633940,-7.286243,14.561709,1.000000,0.018932597,2.741804409e+1,0.597342093,6.627630668,4.130732e+6,1.747584e-12,0.125941487,2,,1.000000000,0,2.636172e-13,1859,de Sitter escape,transient
77,0.2,contracting,0.405729297,0.537770241,-0.537770241,-19.427070,43.999383,452.324343,1.000000,0.028249908,1.207184859e-1,-8.676157590,0.405729297,1.000611e+0,9.983352e-1,8.232798610,1,,1.000000000,0,1.256574e-12,253,collapse,singular
78,0.2,contracting,0.185119197,0.064594561,-0.064594561,-41.488080,5.285010,36.817862,1.000000,0.886191840,6.531182545e-1,-8.815876539,0.185119197,1.290388e+0,8.633118e-1,6.408872430,3,,1.103362154,0,3.917208e-12,1080,collapse,singular
79,0.2,contracting,0.864509097,-0.408581119,0.408581119,26.450910,-33.429364,233.120662,1.000000,0.232979502,9.485960209e-1,-8.144726630,0.864509097,1.000251e+0,9.988917e-1,4.599614847,2,,0.138346265,0,8.348122e-12,1475,collapse,singular
80,0.2,contracting,0.643898996,0.218243201,-0.218243201,4.389900,17.856262,100.809262,1.000000,0.346107325,1.093393430e+0,-8.358770514,0.643898996,1.083388e+0,1.257081e-1,6.866686871,1,,0.086860156,1,4.869253e-12,1587,collapse,singular
81,0.2,contracting,0.423288896,-0.254932479,0.254932479,-17.671110,-20.858112,41.939130,1.000000,1.387850161,1.327595937e+0,-8.595190607,0.423288896,1.320376e+0,9.998185e-1,5.340485765,2,,0.725819590,0,4.770873e-11,1894,collapse,singular
82,0.2,contracting,0.202678795,0.371891841,-0.371891841,-39.732120,30.427514,122.840558,1.000000,0.096275544,2.188689807e-1,-8.807661919,0.202678795,1.008546e+0,9.851401e-1,8.318491137,1,,1.000000000,0,1.173537e-12,416,collapse,singular
83,0.2,contracting,0.882068695,-0.101283839,0.101283839,28.206870,-8.286860,95.726327,1.000000,2.590595132,5.074211413e+0,-8.170092743,0.882068695,1.399515e+0,9.997173e-1,3.355346966,5,,0.730872836,1,3.352402e-11,1703,collapse,singular
84,0.2,contracting,0.661458595,0.525540481,-0.525540481,6.145859,42.998767,702.507380,1.000000,0.018914347,1.703115958e-1,-8.352307997,0.661458595,1.000607e+0,9.969661e-1,8.147858194,1,,1.000000000,0,1.312171e-12,320,collapse,singular
85,0.45,expanding,0.829389900,0.076824320,-0.076824320,22.938990,6.285626,-151.367294,1.000000,0.002074689,1.569883133e+1,0.829389900,6.832295583,2.469033e-2,9.481068e-13,0.114269080,1,,1.000000000,0,2.644592e-13,1576,de Sitter escape,transient
86,0.45,expanding,0.608779799,-0.396351360,0.396351360,0.877980,-32.428748,-142.044951,1.000000,0.002980710,1.524742097e+1,0.608779799,6.609790423,3.671782e-1,1.196202e-11,0.560525469,0,,1.000000000,0,2.629489e-13,1665,de Sitter escape,transient
87,0.45,expanding,0.388169699,0.230472960,-0.230472960,-21.183030,18.856879,-74.914527,1.000000,0.006030613,1.543308054e+1,0.388169699,6.390444258,4.921386e-1,8.531825e-12,0.325937986,2,,1.000000000,0,2.627405e-13,1586,de Sitter escape,transient
88,0.45,expanding,0.167559598,-0.242702720,0.242702720,-43.244040,-19.857495,-52.002286,1.000000,0.009564861,1.511113771e+1,0.167559598,6.169241383,8.373403e-1,7.637458e-11,0.384924460,1,,1.000000000,0,2.617958e-13,1681,de Sitter escape,transient
89,0.45,expanding,0.846949498,0.384121600,-0.384121600,24.694950,31.428131,-474.066516,1.000000,0.001061184,1.480044121e+1,0.846949498,6.847786887,4.636814e-1,3.129596e-11,0.543229977,0,,1.000000000,0,2.628240e-13,1589,de Sitter escape,transient
90,0.45,expanding,0.626339398,-0.089054079,0.089054079,2.633940,-7.286243,-72.723261,1.000000,0.004079065,1.584075490e+1,0.626339398,6.628147035,1.228487e-2,6.771941e-13,0.125941487,0,,1.000000000,0,2.675991e-13,1583,de Sitter escape,transient
91,0.45,expanding,0.405729297,0.537770241,-0.537770241,-19.427070,43.999383,-453.815494,1.000000,0.001649204,1.371110559e+1,0.405729297,6.406037586,8.290548e-1,5.240911e-10,0.760521968,2,,1.000000000,0,2.617194e-13,1524,de Sitter escape,transient
92,0.45,expanding,0.185119197,0.064594561,-0.064594561,-41.488080,5.285010,-41.414817,1.000000,0.012001355,1.558246468e+1,0.185119197,6.188908225,1.019826e+0,2.191731e-13,0.215923014,2,,1.000000000,0,2.657792e-13,1639,de Sitter escape,transient
93,0.45,expanding,0.864509097,-0.408581119,0.408581119,26.450910,-33.429364,-274.842014,1.000000,0.001456992,1.529786654e+1,0.864509097,6.865651894,2.622340e-1,2.033094e-11,0.577820960,0,,1.000000000,0,2.647352e-13,1614,de Sitter escape,transient
94,0.45,expanding,0.643898996,0.218243201,-0.218243201,4.389900,17.856262,-125.710740,1.000000,0.003038731,1.546356010e+1,0.643898996,6.646201440,2.217759e-1,1.172739e-11,0.308642495,0,,1.000000000,0,2.647050e-13,1600,de Sitter escape,transient
95,0.45,expanding,0.423288896,-0.254932479,0.254932479,-17.671110,-20.858112,-57.098252,1.000000,0.006332696,1.559770774e+1,0.423288896,6.423757165,2.292272e-1,2.211219e-11,0.360528969,0,,1.000000000,0,2.634284e-13,1656,de Sitter escape,transient
96,0.45,expanding,0.202678795,0.371891841,-0.371891841,-39.732120,30.427514,-124.456389,1.000000,0.005466372,1.456307327e+1,0.202678795,6.206320955,7.922898e-1,1.829750e-11,0.525934486,2,,1.000000000,0,2.609680e-13,1551,de Sitter escape,transient
97,0.45,expanding,0.882068695,-0.101283839,0.101283839,28.206870,-8.286860,-180.862146,1.000000,0.001754263,1.568035498e+1,0.882068695,6.885355506,2.642220e-2,5.842172e-13,0.143236978,0,,1.000000000,0,2.648495e-13,1575,de Sitter escape,transient
98,0.45,expanding,0.661458595,0.525540481,-0.525540481,6.145859,42.998767,-706.954048,1.000000,0.000958212,1.397266677e+1,0.661458595,6.663801432,7.510534e-1,2.641827e-10,0.743226476,2,,1.000000000,0,2.640883e-13,1551,de Sitter escape,transient
99,0.45,contracting,0.829389900,0.076824320,-0.076824320,22.938990,6.285626,151.367294,1.000000,0.807271599,3.549225454e+0,-8.172630235,0.829389900,1.674366e+0,8.155404e-1,7.757575739,2,,1.100671088,1,6.411152e-11,2784,collapse,singular
